#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Nocardia concava	 DSM 44804, DSM:44804, IFM 0354, IFM:0354, JCM 12351, JCM:12351, NBRC 100430, NBRC:100430	yes	yes
Pusillimonas noertemannii	 BN9, DSM 10065, DSM:10065, NCIMB 14020, NCIMB:14020	yes	yes
Citrobacter murliniae	 ATCC 51118, ATCC:51118, CCUG 30797, CCUG:30797, CDC 2970-59, CDC:2970-59, CIP 104556, CIP:104556, DSM 13695, DSM:13695	yes	no
Flavobacterium lacunae	 AHQ-46, BCCM/LMG:28710, BCRC 80889, BCRC:80889, LMG 28710, LMG:28710	yes	no
Cesiribacter andamanensis	 AMV16, CCUG 58431, CCUG:58431, DSM 22818, DSM:22818	yes	yes
Microbacterium foliorum	 BCCM/LMG:19580, CIP 107137, CIP:107137, DSM 12966, DSM:12966, JCM 11569, JCM:11569, LMG 19580, LMG:19580, NBRC 103072, NBRC:103072, NRRL:B-24224, P 333/02	yes	yes
Rhodobacter capsulatus	 ATCC 11166, ATCC 17015, ATCC:11166, BCCM/LMG:2962, CCUG 31484, CCUG:31484, CIP 104408, CIP:104408, DSM 1710, DSM:1710, IFO 16435, IFO:16435, JCM 21090, JCM:21090, LMG 2962, LMG:2962, NBRC 16435, NBRC:16435, NCIB 8254	yes	yes
Mycobacteroides franklinii	 ATCC BAA-2149, ATCC:BAA:2149, CV002, DSM 45524, DSM:45524	yes	yes
Tildeniella torsiva	 Uher 1998/13d	yes	no
Parvibaculum indicum	 BCCM/LMG:24712, CCTCC AB 208230, CCTCC:AB:208230, DSM 25305, LMG 24712, LMG:24712, MCCC 1A01132, MCCC:1A01132, P31	yes	no
Mycobacterium sediminis	 DSM 45643, KCTC 19999, YIM M13028	yes	no
Pectobacterium carotovorum	 ATCC 15713, ATCC:15713, BCCM/LMG:2404, CCM 1008, CFBP 2046, CFBP:2046, CIP 82.83, CIP:82.83, DSM 30168, DSM:30168, HAMBI 1429, HAMBI:1429, ICMP 5702, ICMP:5702, LMG 2404, LMG:2404, NCAIM B.01109, NCPPB 312, NCPPB:312, VKM B-1247, VKM:B:1247	yes	yes
Burkholderia ubonensis	 CCUG 48852, CCUG:48852, CIP 107078, CIP:107078, DSM 17311, EY 3383, GTC P3-415, NCTC 13147, NCTC:13147	yes	no
Halolactibacillus alkaliphilus	 CGMCC AS 1.6843, CGMCC:AS:1.6843, H-5, NBRC 103919, NBRC:103919	yes	no
Methanospirillum stamsii	 DSM 26304, DSM:26304, Pt1, VKM B-2808, VKM:B:2808	yes	yes
Streptomyces violaceorubidus	 ATCC 43697, ATCC:43697, BCCM/LMG:20319, DSM 41478, DSM:41478, IFO 15463, IFO:15463, INA 770, INA:770, JCM 6931, JCM:6931, LMG 20319, LMG:20319, NBRC 15463, NBRC:15463, NRRL B-16381, NRRL:B:16381, VKM Ac-1292, VKM:Ac:1292	yes	yes
Lysobacter solanacearum	 KACC 18656, KACC:18656, NBRC 111881, NBRC:111881, T20R-70	yes	no
Leifsonia xyli subsp. cynodontis	 ATCC 33973, ATCC:33973, BCCM/LMG:7552, Bermudagrass TB1A, CIP 104615, CIP:104615, DSM 46306, DSM:46306, ICMP 8790, ICMP:8790, IMET 11020, JCM 9733, JCM:9733, LMG 7552, LMG:7552, NCIB 11927, NCIB:11927, NCIMB 11927, NCIMB:11927, TB1A, VKM Ac-2041, VKM:Ac:2041	yes	yes
Echinicola rosea	 CGMCC 1.15407, CGMCC:1.15407, JL3085, NBRC 111782, NBRC:111782	yes	no
Methanocella conradii	 CGMCC 1.5162, CGMCC:1.5162, DSM 24694, DSM:24694, HZ254, JCM 17849, JCM:17849	yes	yes
Parolsenella catena	 2CBEGH3, DSM 105194, DSM:105194, JCM 31932, JCM:31932	yes	yes
Brevibacterium sanguinis	 CCUG 47857, CCUG:47857, CF63, DSM 15677, DSM:15677, JCM 13386, JCM:13386	yes	no
Lactococcus lactis subsp. tructae	 BCCM/LMG:24662, DSM 21502, DSM:21502, L105, LMG 24662, LMG:24662	yes	yes
Prevotella veroralis	 ATCC 33779, ATCC:33779, CCUG 15422, CCUG:15422, DSM 19559, DSM:19559, JCM 6290, JCM:6290, VPI D22A-7	yes	yes
Bacillus acidiceler	 CBD 119, DSM 18954, DSM:18954, NRRL B-41736, NRRL:B:41736	yes	yes
Sinomonas mesophila	 DSM 28729, JCM 30094, JCM:30094, MPKL 26, NCIM 5552, NCIM:5552	yes	yes
Thiocapsa roseopersicina	 1711, DSM 217, DSM:217, Hardenberg, SMG 217	yes	yes
Cyclobacterium sediminis	 JCM 30860, JCM:30860, KCTC 42471, KCTC:42471, SD70	yes	no
Streptomyces sannanensis	 ATCC 31530, ATCC:31530, DSM 41705, DSM:41705, IFO 14239, IFO:14239, JCM 9651, JCM:9651, KC-7038, KCTC 9770, KCTC:9770, NBRC 14239, NBRC:14239	yes	no
Bifidobacterium aquikefiri	 BCCM/LMG:28769, CCUG 67145, CCUG:67145, LMG 28769, LMG:28769, R 54638, R-54638	yes	yes
Filimonas zeae	 772, CGMCC 1.15290, CGMCC:1.15290, DSM 100760, DSM:100760	yes	no
Pseudahrensia aquimaris	 CCUG 60023, CCUG:60023, HDW-32, KCTC 23345, KCTC:23345	yes	no
Rhodopirellula baltica	 DSM 10527, DSM:10527, IFAM 1310, IFAM:1310, NCIMB 13988, NCIMB:13988, SH 1	yes	no
Nitrosomonas communis	 DSM 28436, Nm 2	yes	yes
Alicyclobacillus tolerans	 DSM 16297, DSM:16297, K1, VKM B-2304, VKM:B:2304	yes	no
Burkholderia arboris	 BCCM/LMG:24066, CCUG 54561, CCUG:54561, DSM 23435, DSM:23435, ES0263A, LMG 24066, LMG:24066, R-24201	yes	no
Desulfosporosinus lacus	 DSM 15449, DSM:15449, JCM 12239, JCM:12239, STP12	yes	yes
Dysgonomonas hofstadii	 CCM 7606, CCM:7606, CCUG 54731, CCUG:54731, DSM 104969, JCM 17038, JCM:17038, MX 1040	yes	yes
Neobitarella massiliensis	 CSUR P4047, Marseille-P4047	yes	yes
Acidicapsa dinghuensis	 4GSKX, BCCM/LMG:29213, CGMCC 1.15449, CGMCC:1.15449, LMG 29213, LMG:29213	yes	no
Okeania hirsuta	 PAB-10-Feb-10-1	yes	no
Salinicoccus iranensis	 CCM 7448, CCM:7448, DSM 18903, DSM:18903, QW6	yes	no
Brachyspira aalborgi	 513A, ATCC 43994, ATCC:43994, CIP 104603, CIP:104603, NCTC 11492, NCTC:11492	yes	no
Marinomonas epiphytica	 JCM 31365, JCM:31365, KCTC 52293, KCTC:52293, MTCC 12569, MTCC:12569, SAB-3	yes	no
Cryobacterium aureum	 CGMCC 1.11213, CGMCC:1.11213, Hh31, NBRC 107882, NBRC:107882	yes	yes
Flavihumibacter sediminis	 CJ663, JCM 31431, JCM:31431, KACC 18874, KACC:18874	yes	no
Natronoarchaeum persicum	 BCCM/LMG:29814, IBRC-M 11062, IBRC-M:11062, LMG 29814, LMG:29814, WIIAL99	yes	no
Edaphobacter flagellatus	 BCCM/LMG:30085, GDMCC 1.1193, GDMCC:1.1193, HZ411, LMG 30085, LMG:30085	yes	no
Roseomonas gilardii	 5424, ATCC 49956, ATCC:49956, CCUG 33005, CCUG:33005, CIP 104026, CIP:104026	yes	no
Oceaniglobus indicus	 1- 19b, 1-19b, KCTC 52709, KCTC:52709, MCCC 1A11863, MCCC:1A11863	yes	yes
Fuchsiella alkaliacetigena	 DSM 24880, DSM:24880, VKM B-2667, VKM:B:2667, Z-7100, Z7100	yes	no
Saccharomonospora oceani	 DSM 45700, DSM:45700, JCM 18128, JCM:18128, YIM M11168	yes	no
Bacillus niacini	 BCCM/LMG:16677, CIP 104585, CIP:104585, DSM 2923, DSM:2923, IFO 15566, IFO:15566, JCM 12306, JCM:12306, LMG 16677, LMG:16677, NBRC 15566, NBRC 15566., NBRC:15566	yes	yes
Streptosporangium terrae	 DSM 102296, KCTC 29207, KCTC:29207, MTCC 11724, MTCC:11724, VRC21	yes	no
Bradyrhizobium ingae	 BR 10250, HAMBI 3600, HAMBI:3600	yes	no
Flectobacillus roseus	 BCCM/LMG:24501, BCRC 17834, BCRC:17834, GFA-11, LMG 24501, LMG:24501	yes	no
Fictibacillus rigui	 DSM 24778, JCM 16348, JCM:16348, KCTC 13278, KCTC:13278, WPCB074	yes	no
Mycoplasma dispar	 462/2, ATCC 27140, ATCC:27140, DSM 19993, DSM:19993, NCTC 10125, NCTC:10125	yes	yes
Croceitalea dokdonensis	 DOKDO 023, JCM 13826, JCM:13826, KCCM 42308, KCCM:42308	yes	yes
Branchiibius cervicis	 DSM 24166, DSM:24166, NBRC 106593, NBRC:106593, PAGU 1247	yes	no
Candidatus Phytoplasma wodyetiae	 FPYD Bangi-2, FPYD:Bangi 2, FPYD:Bangi:2	no	no
Mycoplasma felis	 ATCC 23391, ATCC:23391, NCTC 10160, NCTC:10160	yes	yes
Pseudomonas massiliensis	 CB1, CSUR P1334, DSM 29075, DSM:29075	yes	yes
Xanthomonas phaseoli pv. manihotis	 ATCC 49073, ATCC:49073, BCCM/LMG:773, BCCM/LMG:784, ICMP 5741, ICMP:5741, LMG 773, LMG 784, LMG:773, LMG:784, NCPPB 1834, NCPPB:1834	yes	yes
Tissierella praeacuta	 ATCC 25539, ATCC 33268, ATCC:25539, BCCM/LMG:8203, CCUG 21837, CCUG 27825, CCUG:27825, DSM 18095, DSM 5675, DSM:18095, LMG 8203, LMG:8203, NCIMB 703038, NCIMB:703038, NCTC 11158, NCTC 11832, NCTC:11158, VPI 12193	yes	yes
Mycobacterium riyadhense	 CIP 109808, CIP:109808, DSM 45176, DSM:45176, NLA000201958	yes	yes
Oscillatoria acuminata	 PCC 6304, PCC:6304	yes	yes
Campylobacter showae	 ATCC 51146, ATCC:51146, BCCM/LMG:12635, CCUG 30254, CCUG:30254, CIP 103970, CIP:103970, DSM 19458, JCM 12989, JCM:12989, LMG 12635, LMG:12635, SU A4	yes	no
Fluoribacter dumoffii	 ATCC 33279, ATCC:33279, CCUG 11881, CCUG:11881, CIP 103876, CIP:103876, DSM 17625, DSM:17625, NCTC 11370, NCTC:11370, NY 23	yes	yes
Desulfovibrio africanus subsp. uniflagellum	 DSM 23860, JCM 15510, JCM:15510, KCTC 5649, KCTC:5649, SR-1	yes	no
Enterobacter huaxiensis	 090008, CCTCC:AB 2018174, CNCTC:7648, GDMCC:1.1426	yes	yes
[Collinsella] massiliensis	 DSM 26110, DSM:26110, GD3	yes	yes
Streptomyces wellingtoniae	 DSM 40632, DSM:40632, NRRL B-1503, NRRL:B:1503	yes	no
Solirubrobacter taibaiensis	 CCTCC AB 2013308, CCTCC:AB:2013308, GTJR-20, KCTC 29222, KCTC:29222	yes	no
Streptomyces yerevanensis	 AS 4.1464, AS:4.1464, ATCC 43727, ATCC:43727, BCCM/LMG:19363, BCRC 11564, BCRC:11564, CCRC 11564, CCRC:11564, CUB 297, DSM 43167, DSM:43167, IFM 1151, IFM 1242, IFM:1151, IFM:1242, IFO 12517, IFO:12517, IMET 43616, IMET:43616, JCM 3047, JCM 3065, JCM:3047, JCM:3065, KCC A-0047, KCC A-0065, KCC:A:0047, LMG 19363, LMG:19363, NBRC 12517, NBRC:12517, NCIB 9589, NCIB:9589, NCIMB 9589, NCIMB:9589, NRRL B-16943, NRRL:B:16943, RIA 795, RIA:795, VKM Ac-1234, VKM:Ac:1234	yes	yes
Actinoplanes ferrugineus	 ATCC 29868, ATCC:29868, DSM 43807, DSM:43807, IFO 15555, IFO:15555, IMET 9273, IMSNU 22125, IMSNU:22125, JCM 3277, JCM:3277, KCC A-0277, NBRC 15555, NBRC:15555, NRRL B-16718, NRRL:B:16718, X-14695	yes	no
Mycobacterium iranicum	 CCUG 62053, DSM 45541, JCM 17461, M05	yes	yes
Rhodoplanes serenus	 DSM 18633, DSM:18633, NBRC 102049, NBRC:102049, TUT3530	yes	no
Nocardia gamkensis	 CZH20, DSM 44956, DSM:44956, JCM 14299, JCM:14299, NBRC 108242, NBRC:108242, NRRL B-24450, NRRL:B:24450, Strain CZH20	yes	yes
Pleomorphochaeta naphthae	 DSM 104684, DSM:104684, JCM 31871, JCM:31871, SEBR 4209	yes	no
Clostridium algifaecis	 CGMCC 1.5188, CGMCC:1.5188, DSM 28783, DSM:28783, MB9-7	yes	no
Melioribacter roseus	 DSM 23840, JCM 17771, JCM:17771, P3M-2, VKM B-2668, VKM:B:2668	yes	yes
Longimonas halophila	 CICC 10838, CICC:10838, KCTC 42399, KCTC:42399, SYD6	yes	yes
Prolinoborus fasciculus	 ATCC 27740, ATCC:27740, BCCM/LMG:12892, CIP 103579, CIP:103579, LMG 12892, LMG 6233, LMG:12892	yes	yes
Pseudomonas helleri	 BCCM/LMG:28433, DSM 29165, DSM:29165, LMG 28433, LMG:28433, WS4917	yes	yes
Microbacterium saccharophilum	 DSM 28107, K-1, NBRC 108778, NBRC:108778, NCIMB 14782, NCIMB:14782	yes	no
Microbacterium dextranolyticum	 ATCC 51344, ATCC:51344, CCUG 38517, CCUG:38517, CIP 103993, CIP:103993, DSM 8607, DSM:8607, IFO 14592, IFO:14592, JCM 9180, JCM:9180, M-73, NBRC 14592, NBRC:14592, NRRL B-23242, NRRL:B:23242, VKM Ac-1940, VKM:Ac:1940	yes	no
Pediococcus argentinicus	 BCCM/LMG:23999, CCUG 54535, CCUG:54535, CRL 776, CRL:776, DSM 23026, DSM:23026, LMG 23999, LMG:23999	yes	yes
Bartonella mastomydis	 008, CSUR:B643, DSM 2802, DSM:2802	yes	no
Dyadobacter luticola	 CCTCC AB 2017091, KCTC 52981, T17	no	no
Parabacteroides gordonii	 CCUG 57478, CCUG:57478, DSM 23371, DSM:23371, JCM 15724, JCM:15724, MS-1	yes	yes
Luteolibacter algae	 A5J-41-2, KCTC 22040, KCTC:22040, MBIC 08320, MBIC08320, MBIC:08320	yes	no
Hoyosella rhizosphaerae	 CGMCC 1.15478, CGMCC:1.15478, DSM 101985, DSM:101985, J12GA03	yes	no
Bacillus niameyensis	 CSUR P1266, DSM 29725, DSM:29725, SIT3	yes	yes
Blautia wexlerae	 ATCC BAA-1564, ATCC:BAA:1564, DSM 19850, DSM:19850, WAL 14507, WAL:14507	yes	yes
Rathayibacter festucae	 CIP 108055, CIP:108055, DSM 15932, DSM:15932, JCM 13577, JCM:13577, UCM Ac-619, UCM:Ac:619, VKM Ac-1390, VKM:Ac:1390	yes	yes
Deefgea chitinilytica	 BCCM/LMG:24817, BCRC 17934, BCRC:17934, DSM 24713, LMG 24817, LMG:24817, Nsw-4	yes	no
Desulfovibrio alaskensis	 Al1, DSM 16109, DSM:16109, NCIMB 13491, NCIMB:13491	yes	yes
Methylobacterium dankookense	 DSM 22415, DSM:22415, KCTC 22512, KCTC:22512, SW08-7	yes	no
Devosia humi	 CCTCC AB 2015121, CCTCC:AB:2015121, KACC 18281, KACC:18281, THG-MM1	yes	no
Pseudoarcobacter acticola	 AR-13, KCTC 52212, KCTC:52212, NBRC 112272, NBRC:112272	yes	no
Psychrobacter aestuarii	 JCM 16343, JCM:16343, KCTC 22503, KCTC:22503, SC35	yes	no
Agromyces fucosus	 ATCC 51764, ATCC:51764, BCCM/LMG:16156, CCUG 35506, CCUG:35506, CIP 103633, CIP:103633, DSM 8597, DSM:8597, IFO 15781, IFO:15781, IMET 11529, IMET:11529, JCM 9085, JCM:9085, LMG 16156, LMG:16156, NBRC 15781, NBRC:15781, VKM Ac-1345, VKM:Ac:1345	yes	yes
Thalassotalea atypica	 JCM 31894, JCM:31894, KCTC 52745, KCTC:52745, MCCC 1K03276, MCCC:1K03276, RZG4-3-1	yes	no
Flavobacterium saliperosum	 AS 1.3801, AS:1.3801, CGMCC 1.3801, CGMCC:1.3801, DSM 21664, JCM 13331, JCM:13331, S13	yes	yes
Bacillus ciccensis	 5L6, CICC 23855, CICC:23855, DSM 104513, DSM:104513, KCTC 33663, KCTC:33663	yes	no
Planosporangium flavigriseum	 CCTCC AA 205013, CCTCC:AA:205013, DSM 44991, DSM:44991, JCM 16008, JCM:16008, YIM 46034, YIM:46034	no	no
Chryseobacterium ginsenosidimutans	 JCM 16719, JCM:16719, KACC 14527, KACC:14527, THG 15	yes	no
Ferrovibrio soli	 A15, KACC 19102, KACC:19102, KEMB 9005-522, KEMB:9005-522, KEMC:9005-522, NBRC 112682, NBRC:112682	yes	no
Rhizobacter fulvus	 BCCM/LMG:23394, DSM 19916, DSM:19916, Gsoil 322, KCTC 12591, KCTC:12591, LMG 23394, LMG:23394	yes	no
Venenivibrio stagnispumantis	 CP.B2, DSM 18763, DSM:18763, JCM 14244, JCM:14244	yes	no
Mycoplasma buccale	 ATCC 23636, ATCC:23636, CIP 105530, CIP:105530, IFO 14851, IFO:14851, NBRC 14851, NBRC:14851, NCTC 10136, NCTC:10136	yes	no
Hymenobacter soli	 KCTC 12607, LMG 24240, PB17	yes	no
Methylobacterium iners	 5317S-33, DSM 19015, DSM:19015, JCM 16407, JCM:16407, KACC 11765, KACC:11765	yes	no
Mycolicibacterium phlei	 ATCC 11758, ATCC:11758, CCUG 21000, CCUG:21000, CIP 105389, CIP:105389, DSM 43239, DSM:43239, JCM 5865, JCM 6385, JCM:5865, JCM:6385, NCTC 8151, NCTC:8151, NRRL B-14615, NRRL:B:14615, VKM Ac-1291, VKM:Ac:1291	yes	yes
Streptomyces griseiniger	 DSM 41895, DSM:41895, NRRL B-1865, NRRL:B:1865	yes	no
Sediminicola arcticus	 JCM 19894, JCM:19894, KCCM 43038, KCCM:43038, PAMC 27266	yes	no
Glutamicibacter creatinolyticus	 CCM 4673, CIP 105749, CIP:105749, DSM 15881, GIFU 12498, GIFU:12498, GIFU&lt;JPN&gt;:12498, JCM 10102, JCM:10102, KCTC 9903, LMG 22054	no	no
Malaciobacter pacificus	 CGMCC 1.11011, CGMCC NO.1.11011, DSM 25018, JCM 17857, LMG 26638, SW028	yes	yes
Enterococcus saigonensis	 CCUG 68827, CCUG:68827, JCM 31193, JCM:31193, VE80	yes	no
Pseudomonas putida	 ATCC 12633, ATCC:12633, BCCM/LMG:2257, BKM-B N 1122, CCUG 12690, CCUG:12690, CFBP 2066, CFBP:2066, CIP 52.191, CIP:52.191, DSM 291, DSM 7314, DSM:291, DSMZ 291, HAMBI 7, HAMBI:7, IAM 1236, IAM:1236, ICPB 2963, IFO 14164, IFO:14164, IMET 11317, JCM 13063, JCM 20120, JCM:13063, JCM:20120, LMG 16206, LMG 2257, LMG:2257, NBRC 14164, NBRC:14164, NCAIM B.01634, NCCB 68020, NCCB 72006, NCCB:68020, NCCB:72006, NCIMB 11286, NCTC 10936, NCTC:10936, VKM-B 1122	yes	yes
Sphingomonas humi	 JCM 16603, JCM:16603, KCTC 12341, KCTC:12341, KEMB 9004-003, KEMB:9004-003, KEMC:9004-003, PB323	yes	no
Flexibacter flexilis	 ATCC 23079, ATCC:23079, BCCM/LMG:3989, CIP 103988, CIP:103988, DSM 6793, DSM:6793, IFO 15060, IFO:15060, LMG 3989, LMG:3989, NBRC 15060, NBRC:15060	yes	yes
Pseudomonas mangrovi	 KCTC 62159, MCCC 1K03499, TC11	no	no
Brachybacterium sacelli	 BCCM/LMG:20345, CCUG 50347, CCUG:50347, DSM 14566, DSM:14566, JCM 12139, JCM:12139, LMG 20345, LMG:20345	yes	no
Lautropia mirabilis	 AB2188, ATCC 51599, ATCC:51599, CCUG 34794, CCUG:34794, CIP 106317, CIP:106317, DSM 11362, DSM:11362, NCTC 12852, NCTC:12852	yes	yes
Pseudomonas zhaodongensis	 ACCC 06362, ACCC:06362, DSM 27559, DSM:27559, NEAU-ST5-21	yes	yes
Neolyngbya irregularis	 ALCB 114382	yes	no
Streptomyces curacoi	 5828, ATCC 13385, ATCC 19745, ATCC:13385, ATCC:19745, CBS 484.68, CBS:484.68, DSM 40107, DSM:40107, IFO 12761, IFO:12761, ISP 5107, ISP:5107, JCM 4219, JCM 4573, JCM:4219, JCM:4573, NBRC 12761, NBRC:12761, NRRL B-2901, NRRL ISP-5107, NRRL-ISP 5107, NRRL-ISP:5107, NRRL:B:2901, RIA 1026, RIA:1026, SC 3604, SC:3604, UNIQEM 132, UNIQEM:132	yes	yes
Rheinheimera hassiensis	 BCCM/LMG:27268, E48, KACC 17070, KACC:17070, LMG 27268, LMG:27268	yes	no
Streptosporangium jiaoheense	 CGMCC 4.7213, CGMCC:4.7213, JCM 30348, JCM:30348, NEAU-Jh1-4	yes	no
Bowdeniella nasicola	 CCUG 46092, CIP 107668, DSM 19116, R-2014, R2014	yes	yes
Microbacterium gubbeenense	 BCCM/LMG:19263, DPC 5286, DPC:5286, DSM 15944, DSM 24532, DSM:15944, JCM 12075, JCM:12075, LMG 19263, LMG S-19263, LMG:19263, LMG:S:19263, NBRC 103073, NBRC:103073, NCIMB 30129, NCIMB:30129	yes	yes
Nocardioides endophyticus	 JCM 18532, JCM:18532, KCTC 29122, KCTC:29122, MWE 3-5	yes	no
Roseovarius azorensis	 DSM 100674, DSM:100674, KCTC 32421, KCTC:32421, MTCC 11812, MTCC:11812, SSW084	yes	yes
Actinobacillus ureae	 ATCC 25976, ATCC:25976, CCUG 2139, CCUG:2139, CIP 62.8, CIP:62.8, DSM 5568, DSM:5568, Henriksen 3520/59, NCTC 10219, NCTC:10219	yes	yes
Colwellia beringensis	 KCTC 52554, KCTC:52554, MCCC 1A11668, MCCC:1A11668, NB097-1	yes	yes
Leifsonia naganoensis	 CCUG 51931, CCUG:51931, CIP 106799, CIP:106799, DB 103, DB103, DSM 15166, DSM:15166, JCM 10592, JCM:10592, NBRC 103131, NBRC:103131	yes	no
Rhodococcus hoagii	 25729, 25729 [[Corynebacterium equi]], 25729 [[Nocardia restricta]], 25729 [[Rhodococcus equi]], ATCC 14887, ATCC 14887 [[Corynebacterium equi]], ATCC 14887 [[Nocardia restricta]], ATCC 14887 [[Rhodococcus equi]], ATCC 25729, ATCC 25729 [[Corynebacterium equi]], ATCC 25729 [[Nocardia restricta]], ATCC 25729 [[Rhodococcus equi]], ATCC 6939, ATCC 6939 [[Corynebacterium equi]], ATCC 6939 [[Nocardia restricta]], ATCC 6939 [[Rhodococcus equi]], ATCC 7005, ATCC 7005 [[Corynebacterium equi]], ATCC 7005 [[Corynebacterium hoagii]], ATCC 7005 [[Nocardia restricta]], ATCC 7005 [[Rhodococcus equi]], ATCC:25729 [[Rhodococcus equi]], ATCC:6939 [[Rhodococcus equi]], ATCC:7005 [[Corynebacterium hoagii]], BCCM/LMG:18452 [[Rhodococcus equi]], BCCM/LMG:7335 [[Nocardia restricta]], CCUG 17758, CCUG 17758 [[Corynebacterium equi]], CCUG 17758 [[Nocardia restricta]], CCUG 17758 [[Rhodococcus equi]], CCUG 20991, CCUG 20991 [[Corynebacterium equi]], CCUG 20991 [[Corynebacterium hoagii]], CCUG 20991 [[Nocardia restricta]], CCUG 20991 [[Rhodococcus equi]], CCUG 892, CCUG 892 [[Corynebacterium equi]], CCUG 892 [[Nocardia restricta]], CCUG 892 [[Rhodococcus equi]], CCUG:17758 [[Nocardia restricta]], CCUG:20991 [[Corynebacterium hoagii]], CCUG:892 [[Rhodococcus equi]], CIP 54.72, CIP 54.72 [[Corynebacterium equi]], CIP 54.72 [[Nocardia restricta]], CIP 54.72 [[Rhodococcus equi]], CIP 81.17, CIP 81.17 [[Corynebacterium equi]], CIP 81.17 [[Corynebacterium hoagii]], CIP 81.17 [[Nocardia restricta]], CIP 81.17 [[Rhodococcus equi]], CIP:54.72 [[Rhodococcus equi]], CIP:81.17 [[Corynebacterium hoagii]], DSM 20295, DSM 20295 [[Corynebacterium equi]], DSM 20295 [[Corynebacterium hoagii]], DSM 20295 [[Nocardia restricta]], DSM 20295 [[Rhodococcus equi]], DSM 20307, DSM 20307 [[Corynebacterium equi]], DSM 20307 [[Nocardia restricta]], DSM 20307 [[Rhodococcus equi]], DSM 43199, DSM 43199 [[Corynebacterium equi]], DSM 43199 [[Nocardia restricta]], DSM 43199 [[Rhodococcus equi]], DSM:20295 [[Corynebacterium hoagii]], DSM:20307 [[Rhodococcus equi]], DSM:43199 [[Nocardia restricta]], DSMZ 20307, DSMZ 20307 [[Corynebacterium equi]], DSMZ 20307 [[Nocardia restricta]], DSMZ 20307 [[Rhodococcus equi]], HAMBI 2061, HAMBI 2061 [[Corynebacterium equi]], HAMBI 2061 [[Nocardia restricta]], HAMBI 2061 [[Rhodococcus equi]], HAMBI:2061 [[Rhodococcus equi]], IFO 14956, IFO 14956 [[Corynebacterium equi]], IFO 14956 [[Nocardia restricta]], IFO 14956 [[Rhodococcus equi]], IFO:14956 [[Rhodococcus equi]], IMET 11373, IMET 11373 [[Corynebacterium equi]], IMET 11373 [[Nocardia restricta]], IMET 11373 [[Rhodococcus equi]], IMET 7279, IMET 7279 [[Corynebacterium equi]], IMET 7279 [[Nocardia restricta]], IMET 7279 [[Rhodococcus equi]], IMET 7467, IMET 7467 [[Corynebacterium equi]], IMET 7467 [[Nocardia restricta]], IMET 7467 [[Rhodococcus equi]], JCM 1311, JCM 1311 [[Corynebacterium equi]], JCM 1311 [[Nocardia restricta]], JCM 1311 [[Rhodococcus equi]], JCM 1319, JCM 1319 [[Corynebacterium equi]], JCM 1319 [[Corynebacterium hoagii]], JCM 1319 [[Nocardia restricta]], JCM 1319 [[Rhodococcus equi]], JCM 3209, JCM 3209 [[Corynebacterium equi]], JCM 3209 [[Nocardia restricta]], JCM 3209 [[Rhodococcus equi]], JCM 3223, JCM 3223 [[Corynebacterium equi]], JCM 3223 [[Nocardia restricta]], JCM 3223 [[Rhodococcus equi]], JCM:1311 [[Rhodococcus equi]], JCM:1319 [[Corynebacterium hoagii]], JCM:3209 [[Rhodococcus equi]], JCM:3223 [[Nocardia restricta]], LMG 18452, LMG 18452 [[Corynebacterium equi]], LMG 18452 [[Nocardia restricta]], LMG 18452 [[Rhodococcus equi]], LMG 7335, LMG 7335 [[Corynebacterium equi]], LMG 7335 [[Nocardia restricta]], LMG 7335 [[Rhodococcus equi]], LMG:18452 [[Rhodococcus equi]], LMG:7335 [[Nocardia restricta]], NBRC 101255, NBRC 101255 [[Corynebacterium equi]], NBRC 101255 [[Nocardia restricta]], NBRC 101255 [[Rhodococcus equi]], NBRC 103062, NBRC 103062 [[Corynebacterium equi]], NBRC 103062 [[Corynebacterium hoagii]], NBRC 103062 [[Nocardia restricta]], NBRC 103062 [[Rhodococcus equi]], NBRC 14956, NBRC 14956 [[Corynebacterium equi]], NBRC 14956 [[Nocardia restricta]], NBRC 14956 [[Rhodococcus equi]], NBRC:101255 [[Rhodococcus equi]], NBRC:103062 [[Corynebacterium hoagii]], NBRC:14956 [[Rhodococcus equi]], NCIB 10027, NCIB 10027 [[Corynebacterium equi]], NCIB 10027 [[Nocardia restricta]], NCIB 10027 [[Rhodococcus equi]], NCTC 10673, NCTC 10673 [[Corynebacterium equi]], NCTC 10673 [[Corynebacterium hoagii]], NCTC 10673 [[Nocardia restricta]], NCTC 10673 [[Rhodococcus equi]], NCTC 1621, NCTC 1621 [[Corynebacterium equi]], NCTC 1621 [[Nocardia restricta]], NCTC 1621 [[Rhodococcus equi]], NCTC:10673 [[Corynebacterium hoagii]], NCTC:1621 [[Rhodococcus equi]], NRRL B-16538, NRRL B-16538 [[Corynebacterium equi]], NRRL B-16538 [[Nocardia restricta]], NRRL B-16538 [[Rhodococcus equi]], NRRL:B:16538 [[Rhodococcus equi]], VKM Ac-953, VKM Ac-953 [[Corynebacterium equi]], VKM Ac-953 [[Nocardia restricta]], VKM Ac-953 [[Rhodococcus equi]], VKM:Ac:953 [[Rhodococcus equi]]	yes	yes
Chromobacterium haemolyticum	 CCUG 53230, CCUG:53230, DSM 19808, DSM:19808, JCM 14163, JCM:14163, MDA0585	yes	yes
